# GeoID, y_pred, y_predprob
57735,1,0.56176
57736,1,0.65313
57737,1,0.56176
57738,1,0.63551
57739,1,0.70530
57740,1,0.66226
57741,1,0.65251
57742,1,0.54223
57743,0,0.46315
57744,1,0.58991
57745,0,0.44653
57746,0,0.40111
57747,1,0.58991
57748,1,0.60728
57749,1,0.61967
57750,1,0.65313
57751,1,0.70530
57752,1,0.61967
57753,1,0.64349
57754,1,0.57265
57755,1,0.65313
57756,1,0.69870
57757,1,0.75753
57758,1,0.63982
57759,1,0.57265
57767,1,0.67853
57768,1,0.74229
57769,1,0.74229
57770,1,0.69870
57771,1,0.69870
57772,1,0.74547
57773,1,0.74229
57774,1,0.74229
57775,1,0.71754
57776,0,0.46315
57777,1,0.55637
57778,1,0.54223
57779,0,0.46315
57780,0,0.46315
57781,0,0.46315
57782,0,0.46315
57783,0,0.46315
57786,1,0.70530
57787,1,0.60728
57788,0,0.48700
57789,1,0.62415
57790,1,0.62711
57791,1,0.68132
57792,1,0.69870
57793,1,0.70530
57794,1,0.54186
57795,0,0.49983
57796,1,0.52219
57797,1,0.56176
57798,1,0.56176
57799,1,0.54414
57800,1,0.57265
57801,1,0.53567
57802,1,0.58991
57803,1,0.63386
57804,1,0.51259
57805,0,0.46315
57806,1,0.58991
57807,0,0.46146
57808,0,0.40111
57809,0,0.46146
57810,1,0.58991
57811,1,0.56176
57812,1,0.67296
57813,1,0.61967
57814,1,0.61967
57815,1,0.61443
57816,0,0.47948
57817,1,0.63551
57818,1,0.70530
57819,1,0.66307
57820,1,0.75753
57821,1,0.60652
57827,1,0.70530
57828,1,0.69870
57829,1,0.68132
57830,1,0.63982
57831,1,0.64349
57832,1,0.68019
57833,1,0.56176
57834,1,0.65048
57835,1,0.58991
57836,1,0.54223
57837,0,0.46315
57838,0,0.46315
57839,0,0.46315
57840,0,0.46315
57841,1,0.54223
57844,1,0.54223
57845,1,0.58991
57846,1,0.54414
57847,1,0.74229
57848,1,0.72613
57849,1,0.69870
57850,1,0.70530
